# brand-owned source domain	packaged SVG slug
1001tracklists.com	1001tracklists
makerbot.com	makerbot
man.eu	man
mangacollec.com	mangacollec
mangaupdates.com	mangaupdates
manjaro.org	manjaro
mapbox.com	mapbox
mapillary.com	mapillary
mastercard.com	mastercard
materialdesignicons.com	materialdesignicons
matomo.org	matomo
matrix.org	matrix
mautic.org	mautic
mc.kurogames.com	wuthering-waves
mcdonalds.com	mcdonalds
mediafire.com	mediafire
mediamarkt.de	mediamarkt
medium.design	medium
meetup.com	meetup
mega.io	mega
meilisearch.com	meilisearch
meituan.com	meituan
mendeley.com	mendeley
meta.com	meta
metacritic.com	metacritic
metafilter.com	metafilter
mewe.com	mewe
microbit.org	microbit
migadu.com	migadu
mikrotik.com	mikrotik
mini.com	mini
miraheze.org	miraheze
mitsubishi.com	mitsubishi
mix.com	mix
mlb.com	mlb
modelscope.cn	modelscope
modx.com	modx
moleculer.services	moleculer
mongodb.com	mongodb
moo.com	moo
moodle.com	moodle
moqups.com	moqups
mozilla.com	mozilla
mqtt.org	mqtt
msi.com	msi
mubi.com	mubi
mullvad.net	mullvad
mural.co	mural
myanimelist.net	myanimelist
mysql.com	mysql
n26.com	n26
namebase.io	namebase
naver.com	naver
nba.com	nba
near.org	near
nebula.tv	nebula
neo4j.com	neo4j
neon.com	neon
nestjs.com	nestjs
netcup.de	netcup
netdata.cloud	netdata
netflix.com	netflix
netgear.de	netgear
netim.com	netim
netlify.com	netlify
newegg.com	newegg
newgrounds.com	newgrounds
newrelic.com	newrelic
nexon.com	nexon
nextdoor.com	nextdoor
nginx.com	nginx
ngrok.com	ngrok
ngrx.io	ngrx
nhl.com	nhl
nicehash.com	nicehash
nike.com	nike
nikon.com	nikon
nissan.ie	nissan
nixos.org	nixos
nokia.com	nokia
nordvpn.com	nordvpn
norwegian.com	norwegian
notebooklm.google	notebooklm
notion.so	notion
ntfy.sh	ntfy
nutanix.com	nutanix
nuxt.com	nuxt
nvidia.com	nvidia
nzxt.com	nzxt
obsidian.md	obsidian
oclc.org	oclc
octobercms.com	octobercms
odoo.com	odoo
okcupid.com	okcupid
omarchy.org	omarchy
oneplus.com	oneplus
onlyoffice.com	onlyoffice
onstar.com	onstar
openbugbounty.org	openbugbounty
opencollective.com	opencollective
openmined.org	openmined
opensea.io	opensea
openssl.org	openssl
openstreetmap.org	openstreetmap
openwrt.org	openwrt
opera.com	opera
opslevel.com	opslevel
orange.com	orange
oreilly.com	oreilly
organicmaps.app	organicmaps
origin.com	origin
overcast.fm	overcast
paddypower.com	paddypower
padlet.com	padlet
pagekit.com	pagekit
pagerduty.com	pagerduty
panasonic.com	panasonic
paperspace.com	paperspace
paperswithcode.com	paperswithcode
passbolt.com	passbolt
pastebin.com	pastebin
patreon.com	patreon
paychex.com	paychex
payhip.com	payhip
payloadcms.com	payloadcms
paypal.com	paypal
paytm.com	paytm
pcgamingwiki.com	pcgamingwiki
pdq.com	pdq
pearson.com	pearson
penny.de	penny
perplexity.ai	perplexity
pexels.com	pexels
phonepe.com	phonepe
photobucket.com	photobucket
php.net	php
phpbb.com	phpbb
piaggiogroup.com	piaggiogroup
picpay.com	picpay
picrew.me	picrew
picxy.com	picxy
pinterest.com	pinterest
pioneerdj.com	pioneerdj
pivotaltracker.com	pivotaltracker
pixabay.com	pixabay
pixiv.net	pixiv
plangrid.com	plangrid
playstation.com	playstation
pleroma.social	pleroma
plesk.com	plesk
plex.tv	plex
plotly.com	plotly
plume.com	plume
pnpm.io	pnpm
pocketcasts.com	pocketcasts
podman.io	podman
poe.com	poe
poly.com	poly
polygon.technology	polygon
pomerium.com	pomerium
porkbun.design	porkbun
postcss.org	postcss
postgresql.org	postgresql
postiz.com	postiz
postmates.com	postmates
premierleague.com	premierleague
printables.com	printables
privatedivision.com	privatedivision
processingfoundation.org	processingfoundation
processwire.com	processwire
producthunt.com	producthunt
progate.com	progate
progress.com	progress
prometheus.io	prometheus
prosieben.de	prosieben
proton.me	proton
puppet.com	puppet
pypi.org	pypi
python.org	python
qemu.org	qemu
qgis.org	qgis
qnap.com	qnap
qt.io	qt
qualcomm.com	qualcomm
qualtrics.com	qualtrics
quora.com	quora
qwant.com	qwant
qwen.ai	qwen
rainyun.com	rainyun
rakuten.com	rakuten
rancher.com	rancher
rasa.com	rasa
razer.com	razer
razorpay.com	razorpay
redcandlegames.com	redcandlegames
redhat.com	redhat
redis.io	redis
redmine.org	redmine
redsys.es	redsys
reebok.com	reebok
renpy.org	renpy
rescuetime.com	rescuetime
ring.com	ring
riotgames.com	riotgames
ripple.com	ripple
robinhood.com	robinhood
roblox.com	roblox
rockstargames.com	rockstargames
roku.com	roku
root.cern	root
ros.org	ros
roundcube.net	roundcube
rte.ie	rte
rtl.de	rtl
rubygems.org	rubygems
rumble.com	rumble
ryanair.com	ryanair
sabanci.com	sabanci
sahibinden.com	sahibinden
sailfishos.org	sailfishos
salla.com	salla
samsung.com	samsung
scopus.com	scopus
seagate.com	seagate
securityscorecard.com	securityscorecard
semrush.com	semrush
sentry.io	sentry
sessionize.com	sessionize
setapp.com	setapp
shadow.tech	shadow
shazam.com	shazam
shopee.com	shopee
shopify.com	shopify
showpad.com	showpad
showwcase.com	showwcase
siemens.com	siemens
sifive.com	sifive
signal.org	signal
silverairways.com	silverairways
similarweb.com	similarweb
sitepoint.com	sitepoint
sketch.com	sketch
sketchfab.com	sketchfab
sketchup.com	sketchup
skillshare.com	skillshare
skypack.dev	skypack
slideshare.net	slideshare
smart.com	smart
smartthings.com	smartthings
snapchat.com	snapchat
snowpack.dev	snowpack
sogou.com	sogou
sololearn.com	sololearn
songoda.com	songoda
sonos.com	sonos
sony.com	sony
soundcharts.com	soundcharts
soundcloud.com	soundcloud
sourceforge.net	sourceforge
sourcehut.org	sourcehut
spacemacs.org	spacemacs
spaceship.com	spaceship
spacex.com	spacex
spdx.org	spdx
speakerdeck.com	speakerdeck
spectrum.chat	spectrum
speedtest.net	speedtest
spigotmc.org	spigotmc
splunk.com	splunk
spoj.com	spoj
spotify.com	spotify
spring.io	spring
srgssr.ch	srgssr
ssrn.com	ssrn
stackbit.com	stackbit
stackblitz.com	stackblitz
stackoverflow.design	stackoverflow
stackshare.io	stackshare
starbucks.com	starbucks
starlingbank.com	starlingbank
startpage.com	startpage
startrek.com	startrek
statista.com	statista
statuspal.io	statuspal
steamdb.info	steamdb
steemit.com	steemit
stellar.org	stellar
stencyl.com	stencyl
storyblok.com	storyblok
stripe.com	stripe
stubhub.com	stubhub
studio3t.com	studio3t
sublimetext.com	sublimetext
sui.io	sui
suno.com	suno
supercell.com	supercell
supermicro.com	supermicro
surveymonkey.com	surveymonkey
swagger.io	swagger
symphony.com	symphony
synology.com	synology
tabelog.com	tabelog
tablecheck.com	tablecheck
tacobell.com	tacobell
tado.com	tado
tailscale.com	tailscale
taipy.io	taipy
talenthouse.com	talenthouse
tangled.org	tangled
target.com	target
tarom.ro	tarom
