# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
showwcase	Showwcase	showwcase.com	AAB6C2
paperswithcode	Papers With Code	paperswithcode.com	21CBCE
ankermake	AnkerMake	ankermake.com	88F387
reebok	Reebok	reebok.com	E41D1B
apmterminals	APM Terminals	apmterminals.com	FF6441
orange	Orange	orange.com	FF7900
neon	Neon	neon.com	34D59A
alpinelinux	Alpine Linux	alpinelinux.org	0D597F
stackblitz	StackBlitz	stackblitz.com	1269D3
devuan	Devuan	devuan.org	AAB6C2
salla	Salla	salla.com	BAF3E6
pagerduty	PagerDuty	pagerduty.com	06AC38
processingfoundation	Processing Foundation	processingfoundation.org	006699
distrokid	Distrokid	distrokid.com	AAB6C2
skypack	Skypack	skypack.dev	3167FF
geopandas	GeoPandas	geopandas.org	139C5A
expo	Expo	expo.dev	AAB6C2
ntfy	ntfy	ntfy.sh	317F6F
xero	Xero	xero.com	13B5EA
bitrise	Bitrise	bitrise.io	683D87
formspree	Formspree	formspree.io	E5122E
ngrx	NgRx	ngrx.io	BA2BD2
nextdoor	Nextdoor	nextdoor.com	8ED500
thingiverse	Thingiverse	thingiverse.com	248BFB
groupon	Groupon	groupon.com	53A318
gitpod	Gitpod	gitpod.io	FFAE33
bugatti	Bugatti	bugatti.com	AAB6C2
surveymonkey	SurveyMonkey	surveymonkey.com	00BF6F
fizz	Fizz	fizz.ca	00D672
spectrum	Spectrum	spectrum.chat	7B16FF
traxsource	Traxsource	traxsource.com	40A0FF
semrush	Semrush	semrush.com	FF642D
datastax	DataStax	datastax.com	AAB6C2
jetblue	JetBlue	jetblue.com	AAB6C2
stackshare	StackShare	stackshare.io	0690FA
geocaching	Geocaching	geocaching.com	00874D
bambulab	Bambu Lab	bambulab.com	00AE42
auchan	Auchan	auchan.fr	D6180B
nuxt	Nuxt	nuxt.com	00DC82
stellar	Stellar	stellar.org	FDDA24
astro	Astro	astro.build	BC52EE
civo	Civo	civo.com	239DFF
joomla	Joomla	joomla.org	5091CD
namebase	Namebase	namebase.io	0068FF
similarweb	Similarweb	similarweb.com	AAB6C2
sui	Sui	sui.io	4DA2FF
